Id,Label,timeset,fonction,cluster,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class
aves_aa_4R_auth_0245,"flöss, heintz",,personne,4.0,6,6,8,0.2504,0.274768,6316.303863,1
aves_aa_4R_auth_0246,"roser, heintz",,personne,,3,3,8,0.231924,0.250581,359.634052,14
aves_aa_4R_auth_0247,"ingenheim, küntz",,personne,,2,2,10,0.194315,0.216034,34.908023,1
aves_aa_4R_auth_0248,"dolde, bechtolt",,personne,,1,1,10,0.191519,0.209519,0,1
aves_aa_4R_auth_0249,"wernher, claus",,personne,,1,1,10,0.191519,0.209519,0,1
aves_aa_4R_auth_0250,"giger, claus",,personne,,1,1,10,0.191519,0.209519,0,1
aves_aa_4R_auth_0251,"reichwein, walther",,personne,,4,4,8,0.218325,0.243873,425.456757,1
aves_aa_4R_auth_0252,"kerling, claus",,personne,,1,1,8,0.212683,0.226072,0,1
aves_aa_4R_auth_0253,"renner, johanns, der junge",,personne,4.0,4,4,8,0.239288,0.259068,2135.39166,4
aves_aa_4R_auth_0254,"vetter, claus",,personne,4.0,5,5,8,0.249104,0.269945,2308.502598,1
aves_aa_4R_auth_0255,"schnipper, claus",,personne,,1,1,8,0.212683,0.226072,0,1
aves_aa_4R_auth_0256,"arnolt, konrat",,personne,4.0,3,3,6,0.246843,0.261777,1623.210565,11
aves_aa_4R_auth_0257,"siffermann, riffe",,personne,,1,1,8,0.212683,0.226072,0,1
aves_aa_4R_auth_0258,"rhinau, johanns",,personne,,2,2,8,0.218783,0.23571,227.403861,1
