Id,Label,fonction,cluster
aves_aa_4R_auth_0263,"nothalden, von, heinrich",personne,
aves_aa_4R_auth_0264,"buchswiller, von, burkhart",personne,
aves_aa_4R_auth_0265,"schwob, johanns",personne,
aves_aa_4R_auth_0266,"lampertheim, von, johanns",personne,
aves_aa_4R_auth_0267,"müntzenberg, johanns",personne,
aves_aa_4R_auth_0268,"dossenheim, von, hug",personne,2.0
aves_aa_4R_auth_0269,"kacheler, sifrit",personne,
aves_aa_4R_auth_0270,"waldeck, konrat",personne,
aves_aa_4R_auth_0271,"schnell, johanns",personne,
aves_aa_4R_auth_0272,"risser, claus",personne,
aves_aa_4R_auth_0273,"peter, johanns",personne,
aves_aa_4R_auth_0274,"['', ''], diebolt",personne,
aves_aa_4R_auth_0275,"obrecht, johanns",personne,
aves_aa_4R_auth_0276,"voltz, claus, hagenau, von",personne,
aves_aa_4R_auth_0277,"gerbot, küntz",personne,
aves_aa_4R_auth_0278,"honau, von, claus",personne,
aves_aa_4R_auth_0279,adam,personne,
aves_aa_4R_auth_0280,"pfluger, heintz",personne,
aves_aa_4R_auth_0281,"kilwart, johanns",personne,
aves_aa_4R_auth_0282,"würtzel, johanns",personne,
aves_aa_4R_auth_0283,"basel, von, diebolt",personne,
aves_aa_4R_auth_0284,"hüter, johanns",personne,
aves_aa_4R_auth_0285,"kride, heintz",personne,
aves_aa_4R_auth_0286,"krapp, johanns",personne,
aves_aa_4R_auth_0287,"pfettisheim, johanns",personne,
aves_aa_4R_auth_0288,"eckboltzheim, von, claus",personne,
aves_aa_4R_auth_0289,"leistmann, ",personne,
aves_aa_4R_auth_0290,"lang, fritsch",personne,
aves_aa_4R_auth_0291,"beildeck, adam",personne,
aves_aa_4R_auth_0292,"pfluger, oberlin",personne,
aves_aa_4R_auth_0293,"stacheler, johanns",personne,
aves_aa_4R_auth_0294,"götze, bechtolt",personne,
aves_aa_4R_auth_0295,"risser, konrat",personne,
aves_aa_4R_auth_0296,"kutteltzheim, michel, der junge",personne,
aves_aa_4R_auth_0297,"giger, johanns",personne,
aves_aa_4R_auth_0298,"meiger, claus",personne,
aves_aa_4R_auth_0299,"gerbot, johanns",personne,
aves_aa_4R_auth_0300,"bülle, johanns",personne,
aves_aa_4R_auth_0301,"hugelin, sankt-martin",personne,
aves_aa_4R_auth_0302,"stacheler, claus",personne,
aves_aa_4R_auth_0303,"dreitzehn, diebolt",personne,
aves_aa_4R_auth_0304,"brüchelin, johanns, klein",personne,
aves_aa_4R_auth_0305,"träger, oberlin",personne,4.0
aves_aa_4R_auth_0306,"dürr, claus",personne,
aves_aa_4R_auth_0307,"landolff, jacob",personne,
aves_aa_4R_auth_0308,"scheubelin, johanns",personne,
aves_aa_4R_auth_0309,"kalt, johanns",personne,4.0
aves_aa_4R_auth_0310,"dentener, johanns",personne,
aves_aa_4R_auth_0311,"trüchtersheim, von, ruhlemann",personne,2.0
aves_aa_4R_auth_0312,"zoller, johanns",personne,4.0
aves_aa_4R_auth_0313,"ettenheim, von, claus",personne,
aves_aa_4R_auth_0314,"fritsch, werde, uff dem",personne,2.0
aves_aa_4R_auth_0315,"üsenberg, heintz",personne,4.0
aves_aa_4R_auth_0316,"stefan, heinrich",personne,
aves_aa_4R_auth_0317,"nüffer, behremann",personne,0.0
aves_aa_4R_auth_0318,"spete, claus",personne,
aves_aa_4R_auth_0319,"bader, oswalt",personne,
aves_aa_4R_auth_0320,"schmerwer, andres",personne,0.0
aves_aa_4R_auth_0321,"lichtenberg, heinrich",personne,
aves_aa_4R_auth_0322,"harrer, oberlin",personne,
aves_aa_4R_auth_0323,"dettwiller, claus",personne,
aves_aa_4R_auth_0324,"mentzer, adam",personne,
aves_aa_4R_auth_0325,"klige, johanns",personne,4.0
aves_aa_4R_auth_0326,bechtolt,personne,
aves_aa_4R_auth_0327,"duntzenheim, claus",personne,4.0
aves_aa_4R_auth_0328,"eckboltzheim, von, johanns",personne,
aves_aa_4R_auth_0329,"welsch, lienhart",personne,0.0
aves_aa_4R_auth_0330,"phye, heintz",personne,
aves_aa_4R_auth_0331,"bergheim, von, claus",personne,
aves_aa_4R_auth_0332,"heide, küntz",personne,4.0
aves_aa_4R_auth_0333,"gotzgans, johanns",personne,
aves_aa_4R_auth_0334,"trachenfeils, lienhart, der junge",personne,2.0
aves_aa_4R_auth_0335,"rheinstett, von, fritsch",personne,4.0
aves_aa_4R_auth_0336,"konrat, münster, vor dem",personne,
aves_aa_4R_auth_0337,"schultheiss, johanns, klein",personne,
aves_aa_4R_auth_0338,"kerling, jacob",personne,
aves_aa_4R_auth_0339,"sturmel, peter",personne,
aves_aa_4R_auth_0340,"breitthor, johanns",personne,
aves_aa_4R_auth_0341,"phye, reimbolt",personne,4.0
aves_aa_4R_auth_0342,"hirtzfelder, heinrich",personne,
aves_aa_4R_auth_0343,"kühn, johanns",personne,
aves_aa_4R_auth_0344,"missbach, peter",personne,4.0
aves_aa_4R_auth_0345,marx,personne,
aves_aa_4R_auth_0346,"wissemburg, johanns",personne,
aves_aa_4R_auth_0347,"kint, heintz",personne,
aves_aa_4R_auth_0348,"linzer, claus",personne,3.0
aves_aa_4R_auth_0349,"armbruster, konrat, pfennigturm, vor dem, der junge",personne,2.0
aves_aa_4R_auth_0350,"rosemberg, küntz",personne,4.0
aves_aa_4R_auth_0351,"monschein, johanns",personne,4.0
aves_aa_4R_auth_0352,"schalk, obrecht",personne,3.0
aves_aa_4R_auth_0353,"hellen, zur, claus",personne,4.0
aves_aa_4R_auth_0354,"scheubelin, johanns",personne,
aves_aa_4R_auth_0355,"grünwalt, jacob",personne,
aves_aa_4R_auth_0356,"neuwiller, johanns",personne,
aves_aa_4R_auth_0357,"armbruster, johanns",personne,
aves_aa_4R_auth_0358,"kesselring, johanns",personne,4.0
aves_aa_4R_auth_0359,"giger, johanns",personne,
aves_aa_4R_auth_0360,"lumbart, johanns, der junge",personne,1.0
aves_aa_4R_auth_0361,"riffe, adam",personne,2.0
aves_aa_4R_auth_0362,"bischoff, johanns",personne,
aves_aa_4R_auth_0363,"siffermann, ",personne,
aves_aa_4R_auth_0364,"rotgebe, jacob",personne,1.0
aves_aa_4R_auth_0365,"ammelung, johanns",personne,4.0
aves_aa_4R_auth_0366,"hellen, zur, johanns",personne,
aves_aa_4R_auth_0367,"egen, claus",personne,
aves_aa_4R_auth_0368,"büttener, claus",personne,
aves_aa_4R_auth_0369,"rohrer, peter",personne,0.0
aves_aa_4R_auth_0370,"messer, johanns",personne,
aves_aa_4R_auth_0371,"hochfelden, von, walther",personne,
aves_aa_4R_auth_0372,"voltz, küntz",personne,
aves_aa_4R_auth_0373,gebhart,personne,4.0
aves_aa_4R_auth_0374,"ruhlmann, claus",personne,
aves_aa_4R_auth_0375,"wingersheim, dielmann",personne,
aves_aa_4R_auth_0376,michel,personne,
aves_aa_4R_auth_0377,"volmar, fritsch",personne,4.0
aves_aa_4R_auth_0378,"reimbolt, reimbolt, judengasse, in",personne,
aves_aa_4R_auth_0379,"müsinger, johanns",personne,
aves_aa_4R_auth_0380,"messerer, johanns, der junge",personne,
aves_aa_4R_auth_0381,"villinger, bertsch",personne,
aves_aa_4R_auth_0382,"peter, gerichte, bei dem",personne,
aves_aa_4R_auth_0383,"voltz, peter",personne,0.0
aves_aa_4R_auth_0384,"berse, von, johanns",personne,1.0
aves_aa_4R_auth_0385,"wangen, von, johanns",personne,
aves_aa_4R_auth_0386,"kücheler, bartholomeus",personne,
aves_aa_4R_auth_0387,"messner, andres",personne,4.0
aves_aa_4R_auth_0388,"meiger, johanns",personne,
aves_aa_4R_auth_0389,"regisheim, claus",personne,
aves_aa_4R_auth_0390,"hüter, marx",personne,
aves_aa_4R_auth_0391,"grünwalt, walther",personne,
aves_aa_4R_auth_0392,"schindeler, küntz",personne,
aves_aa_4R_auth_0393,"herde, von, andres",personne,
aves_aa_4R_auth_0394,"bergheim, von, hug",personne,
aves_aa_4R_auth_0395,"altheim, küntz",personne,
aves_aa_4R_auth_0396,"müller, thoman",personne,
aves_aa_4R_auth_0397,"happmacher, jacob",personne,
aves_aa_4R_auth_0398,"leimer, heinrich",personne,0.0
aves_aa_4R_auth_0399,"lahr, von, johanns",personne,4.0
aves_aa_4R_auth_0400,"dreitzehn, reimbolt",personne,
aves_aa_4R_auth_0401,"morsmünster, von, claus",personne,
aves_aa_4R_auth_0402,"gerlach, ",personne,
aves_aa_4R_auth_0403,"diener, claus",personne,
aves_aa_4R_auth_0404,"dusche, fritsch",personne,
aves_aa_4R_auth_0405,"bernhart, kurbengasse, in",personne,
aves_aa_4R_auth_0406,"hühnerer, küntz",personne,
aves_aa_4R_auth_0407,"henneckin, johanns",personne,0.0
aves_aa_4R_auth_0408,"schertzheim, jerge",personne,0.0
aves_aa_4R_auth_0409,"messner, wernher",personne,
aves_aa_4R_auth_0410,"ricker, claus",personne,
aves_aa_4R_auth_0411,"dreitzehn, jerge",personne,0.0
aves_aa_4R_auth_0412,"weipolt, johanns",personne,1.0
aves_aa_4R_auth_0413,"mentz, von, küntz, duchscherer",personne,4.0
aves_aa_4R_auth_0414,"seltz, von, johanns",personne,
aves_aa_4R_auth_0415,"berse, von, lexius",personne,
aves_aa_4R_auth_0416,"meiger, heinrich",personne,
aves_aa_4R_auth_0417,"ludemann, claus",personne,
aves_aa_4R_auth_0418,"bleiweger, diebolt",personne,
aves_aa_4R_auth_0419,"sifrit, werde, uff dem",personne,
aves_aa_4R_auth_0420,"brant, lauwel",personne,
aves_aa_4R_auth_0421,"rohrer, marx",personne,4.0
aves_aa_4R_auth_0422,"koch, johanns, der alte",personne,4.0
aves_aa_4R_auth_0423,"haffener, sixt",personne,0.0
aves_aa_4R_auth_0424,"hettemann, johanns",personne,2.0
aves_aa_4R_auth_0425,"kempf, claus",personne,1.0
aves_aa_4R_auth_0426,"bitsch, johanns",personne,0.0
aves_aa_4R_auth_0427,"klein, johanns",personne,4.0
aves_aa_4R_auth_0428,"windeck, heinrich",personne,
aves_aa_4R_auth_0429,"desche, heinrich",personne,
aves_aa_4R_auth_0430,"kiebel, johanns",personne,
aves_aa_4R_auth_0431,"speich, andres",personne,
aves_aa_4R_auth_0432,"pfaffe, claus",personne,4.0
aves_aa_4R_auth_0433,"konrat, münster, vor dem",personne,
aves_aa_4R_auth_0434,"binnting, walther",personne,
aves_aa_4R_auth_0435,gabriel,personne,
aves_aa_4R_auth_0436,"meister, johanns",personne,
aves_aa_4R_auth_0437,"dahlheim, heinrich",personne,
aves_aa_4R_auth_0438,"bergheim, von, johanns, der junge",personne,0.0
aves_aa_4R_auth_0439,"leutesheim, johanns",personne,0.0
aves_aa_4R_auth_0440,"wolff, johanns",personne,0.0
aves_aa_4R_auth_0441,"barpfennig, marx",personne,0.0
aves_aa_4R_auth_0442,"lamperter, johanns",personne,
aves_aa_4R_auth_0443,"kücheler, claus",personne,0.0
aves_aa_4R_auth_0444,"rohr, von, claus",personne,
aves_aa_4R_auth_0445,"klaue, jacob",personne,1.0
aves_aa_4R_auth_0446,"diebolt, peter",personne,
aves_aa_4R_auth_0447,"schüffel, heintz, eber, zum",personne,
aves_aa_4R_auth_0448,"girbaden, johanns",personne,0.0
aves_aa_4R_auth_0449,"lang, johanns",personne,
aves_aa_4R_auth_0450,"paulus, johanns",personne,1.0
aves_aa_4R_auth_0451,"kress, konrat",personne,
aves_aa_4R_auth_0452,"bidermann, claus",personne,1.0
aves_aa_4R_auth_0453,"winsticher, erhart",personne,1.0
aves_aa_4R_auth_0454,"schlempe, heinrich",personne,0.0
aves_aa_4R_auth_0455,"sporer, jacob",personne,4.0
aves_aa_4R_auth_0456,"lang, claus",personne,0.0
aves_aa_4R_auth_0457,"wile, von, sifrit",personne,
aves_aa_4R_auth_0458,"rippel, michel",personne,4.0
aves_aa_4R_auth_0459,"reimbolt, johanns",personne,
aves_aa_4R_auth_0460,"peter, johanns",personne,4.0
aves_aa_4R_auth_0461,"siffermann, burkhart",personne,4.0
aves_aa_4R_auth_0462,"hebnagel, johanns",personne,0.0
